sku,title,description,price,quantity
TSHIRT-001,Vintage Style Cotton T-Shirt,"High-quality cotton t-shirt with vintage design. Perfect for casual wear. Available in multiple colors. Machine washable and durable.",29.99,50
MUG-CERAMIC-001,Handmade Ceramic Coffee Mug,"Beautiful handmade ceramic mug perfect for your morning coffee or tea. Microwave and dishwasher safe. Holds 12oz.",24.99,30
POSTER-ART-001,Modern Abstract Art Print,"Contemporary abstract art print on premium paper. Perfect for home or office decoration. Frame not included.",19.99,100
CANDLE-SOY-001,Natural Soy Wax Candle,"Hand-poured soy wax candle with essential oils. Burns clean for 40+ hours. Available in lavender, vanilla, and citrus scents.",16.99,75
NOTEBOOK-A5-001,Premium Leather Notebook,"A5 size notebook with genuine leather cover. 200 pages of high-quality paper. Perfect for journaling or note-taking.",34.99,40
KEYCHAIN-WOOD-001,Custom Wooden Keychain,"Handcrafted wooden keychain with engraved design. Made from sustainable bamboo. Includes metal ring and clasp.",12.99,150
STICKER-PACK-001,Waterproof Vinyl Sticker Pack,"Set of 10 waterproof vinyl stickers. Perfect for laptops, water bottles, and notebooks. Weather resistant and fade-proof.",8.99,200
BRACELET-BEADED-001,Handmade Beaded Bracelet,"Elegant beaded bracelet with natural stones. Adjustable size. Comes in a gift box. Perfect for any occasion.",22.99,60
PILLOW-COVER-001,Decorative Throw Pillow Cover,"Soft cotton pillow cover with modern geometric pattern. Zipper closure. Machine washable. Pillow insert not included.",18.99,80
TOTE-BAG-001,Eco-Friendly Canvas Tote Bag,"Large canvas tote bag perfect for shopping or beach trips. Heavy-duty construction. Printed with eco-friendly inks.",15.99,120
